sein,être,✅,Ich bin seit 2015 Lehrer. *(Je suis enseignant depuis 2015.)*,Ich bin krank gewesen. *(J'ai été malade.)*,Ich werde in 3 Wochen in Berlin sein. *(Je serai à Berlin dans 3 semaines.)*
anbieten,"offrir, proposer",✅,"Ich biete dir meine Hilfe an, falls du Unterstützung bei deinem Projekt benötigst. (Je t’offre mon aide si tu as besoin de soutien pour ton projet.)","Sie hat uns gestern einen Platz in ihrem Auto angeboten, als sie von der Arbeit nach Hause gefahren ist. (Elle nous a proposé une place dans sa voiture hier en rentrant du travail.)",Der Chef wird dir nächste Woche offiziell eine Beförderung anbieten. (Le patron va officiellement te proposer une promotion la semaine prochaine.)
annehmen,"accepter, supposer",✅,Ich nehme deine Einladung gerne an. (J'accepte volontiers ton invitation.),Er hat das Angebot sofort angenommen. (Il a accepté l'offre immédiatement.),"Wenn alles gut läuft, werde ich den neuen Job annehmen. (Si tout se passe bien, j'accepterai le nouveau poste.)"
ausleihen,"emprunter, prêter",✅,Ich leihe mir ein Buch aus der Bibliothek aus. (J’emprunte un livre à la bibliothèque.),Er hat mir gestern sein Fahrrad ausgeliehen. (Il m’a prêté son vélo hier.),"Morgen werde ich mir einen Film ausleihen. (Demain, j’emprunterai un film.)"
entnehmen,"prélever, retirer (extrait, informations)",✅,Ich entnehme die Informationen aus dem Bericht. (Je retire les informations du rapport.),Der Arzt hat eine Probe entnommen. (Le médecin a prélevé un échantillon.),"Morgen werde ich das Geld vom Konto entnehmen. (Demain, je retirerai l'argent du compte.)"
erhalten,"recevoir, obtenir",✅,"Ich erhalte regelmäßig Newsletter von meiner Universität, damit ich über alle Neuigkeiten informiert bin. (Je reçois régulièrement des newsletters de mon université pour être informé de toutes les nouveautés.)",Er hat eine Auszeichnung für seine hervorragende wissenschaftliche Arbeit erhalten. (Il a reçu une récompense pour son excellent travail scientifique.),"Wenn du dich weiterhin bemühst, wirst du bald ein Zertifikat erhalten. (Si tu continues à faire des efforts, tu recevras bientôt un certificat.)"
erkennen,"reconnaître, identifier",✅,"Ich erkenne ihn sofort an seiner Stimme, auch wenn ich ihn nicht sehe. (Je le reconnais immédiatement à sa voix, même si je ne le vois pas.)","Sie hat ihren alten Lehrer auf der Straßenseite erkannt, obwohl sie ihn seit Jahren nicht gesehen hatte. (Elle a reconnu son ancien professeur de l'autre côté de la rue, même si elle ne l'avait pas vu depuis des années.)","Wenn du aufmerksam bist, wirst du die Wahrheit rechtzeitig erkennen. (Si tu es attentif, tu reconnaîtras la vérité à temps.)"
beginnen,commencer (formel),✅,Der Kurs beginnt um 9 Uhr. *(Le cours commence à 9h.)*,Die Sitzung hat vor einer Stunde begonnen. *(La réunion a commencé il y a une heure.)*,Das Konzert wird pünktlich beginnen. *(Le concert commencera à l'heure.)*
bestehen,"réussir (un examen), exister",✅,"Ich bestehe die Prüfung, wenn ich genug lerne. (Je réussis l’examen si j’étudie suffisamment.)",Er hat die Fahrprüfung beim ersten Versuch bestanden. (Il a réussi l’examen de conduite du premier coup.),"Wenn du weiter so lernst, wirst du die Abschlussprüfung bestehen. (Si tu continues à apprendre ainsi, tu réussiras l’examen final.)"
beweisen,"prouver, démontrer",✅,Der Wissenschaftler beweist seine Theorie mit präzisen Daten und Analysen. (Le scientifique prouve sa théorie avec des données précises et des analyses.),Der Angeklagte hat seine Unschuld vor Gericht bewiesen. (L'accusé a prouvé son innocence devant le tribunal.),"In der Zukunft werden wir hoffentlich unsere Fähigkeiten in großen Projekten beweisen. (À l'avenir, nous espérons pouvoir prouver nos compétences dans de grands projets.)"
lesen,lire,✅,Sie liest jeden Tag ein Buch. *(Elle lit un livre chaque jour.)*,Sie hat gestern einen spannenden Roman gelesen. *(Elle a lu un roman passionnant hier.)*,Sie wird nächstes Jahr mehr Bücher lesen. *(Elle lira plus de livres l'année prochaine.)*
sprechen,parler,✅,Wir sprechen Deutsch und Englisch. *(Nous parlons allemand et anglais.)*,Wir haben mit dem Lehrer gesprochen. *(Nous avons parlé avec le professeur.)*,Wir werden morgen mit fünf Kunden sprechen. *(Nous parlerons demain avec cinq clients.)*
verlieren,perdre,✅,Ich verliere oft meine Schlüssel. *(Je perds souvent mes clés.)*,Er hat sein Handy im Taxi verloren. *(Il a perdu son téléphone dans le taxi.)*,Wir werden das Spiel nicht verlieren! *(Nous ne perdrons pas le match !)*
gehen,aller,✅,Ich gehe jeden Tag zur Arbeit. *(Je vais au travail tous les jours.)*,Ich bin gestern spät nach Hause gegangen. *(Je suis rentré tard hier.)*,Ich werde morgen früher gehen. *(Je partirai plus tôt demain.)*
kommen,venir,✅,Sie kommt aus Frankreich. *(Elle vient de France.)*,Er ist gestern nach Hause gekommen. *(Il est rentré à la maison hier.)*,Wir werden nächste Woche nach Berlin kommen. *(Nous viendrons à Berlin la semaine prochaine.)*
finden,"trouver, estimer, juger",✅,Ich finde dieses Buch sehr interessant. *(Je trouve ce livre très intéressant.)*,Ich habe meine Schlüssel gefunden. *(J’ai trouvé mes clés.)*,Du wirst eine Lösung finden. *(Tu trouveras une solution.)*
nehmen,prendre,✅,Er nimmt den Bus zur Schule. *(Il prend le bus pour aller à l'école.)*,Sie hat ein Taxi genommen. *(Elle a pris un taxi.)*,Ich werde das nächste Flugzeug nehmen. *(Je prendrai le prochain avion.)*
schreiben,écrire,✅,Ich schreibe einen Brief. *(J'écris une lettre.)*,Sie hat eine E-Mail geschrieben. *(Elle a écrit un e-mail.)*,Er wird ein Buch schreiben. *(Il écrira un livre.)*
aufschreiben,noter,✅,Kannst du meine Nummer aufschreiben? *(Peux-tu noter mon numéro ?)*,Ich habe die Adresse aufgeschrieben. *(J'ai noté l'adresse.)*,Sie wird die Liste aufschreiben. *(Elle notera la liste.)*
bringen,apporter,✅,Ich bringe dir ein Geschenk. *(Je t'apporte un cadeau.)*,Er hat die Dokumente ins Büro gebracht. *(Il a apporté les documents au bureau.)*,Wir werden morgen Essen zu unseren Freunden bringen. *(Nous apporterons de la nourriture à nos amis demain.)*
lassen,"laisser, faire faire",✅,Lass mich in Ruhe! *(Laisse-moi tranquille !)*,Ich habe meine Tasche zu Hause gelassen. *(J’ai laissé mon sac à la maison.)*,Ich werde mein Auto in der Garage lassen. *(Je vais laisser ma voiture dans le garage.)*
bleiben,"rester, demeurer",✅,Ich bleibe heute zu Hause. *(Je reste à la maison aujourd’hui.)*,Er ist in Berlin geblieben. *(Il est resté à Berlin.)*,Wir werden lange hier bleiben. *(Nous resterons longtemps ici.)*
halten,"tenir, s’arrêter, considérer",✅,Ich halte das Buch in der Hand. *(Je tiens le livre dans la main.)*,Der Bus hat hier gehalten. *(Le bus s'est arrêté ici.)*,Wir werden diese Regel einhalten. *(Nous respecterons cette règle.)*
essen,manger,✅,Ich esse gerne Pizza. (J’aime manger de la pizza.),Er hat gestern Sushi gegessen. (Il a mangé des sushis hier.),Wir werden morgen im Restaurant essen. (Nous mangerons au restaurant demain.)
schlafen,dormir,✅,"Ich schlafe normalerweise acht Stunden pro Nacht, damit ich am nächsten Tag konzentriert arbeiten kann. (Je dors normalement huit heures par nuit pour pouvoir travailler concentré le lendemain.)","In den Ferien habe ich jeden Tag bis neun Uhr geschlafen. (Pendant les vacances, j’ai dormi chaque jour jusqu’à neuf heures.)","Wenn wir heute früh ins Bett gehen, werden wir morgen ausgeschlafen und fit sein. (Si nous allons au lit tôt ce soir, nous serons reposés et en forme demain.)"
geben,donner,✅,Ich gebe meiner Schwester jeden Morgen einen Kuss zum Abschied. (Je donne un bisou à ma sœur chaque matin pour lui dire au revoir.),Er hat mir ein tolles Geschenk zum Geburtstag gegeben. (Il m’a offert un super cadeau pour mon anniversaire.),"Wenn du mir ein paar Minuten gibst, erkläre ich dir alles. (Si tu me donnes quelques minutes, je t’expliquerai tout.)"
gelingen,réussir (à faire quelque chose),✅,"Es gelingt mir nicht immer, alles rechtzeitig zu erledigen. (Je ne réussis pas toujours à tout faire à temps.)","Der Plan ist uns endlich gelungen, nachdem wir lange daran gearbeitet hatten. (Nous avons enfin réussi le plan après y avoir travaillé longtemps.)","Wenn wir gut zusammenarbeiten, wird uns das Projekt sicher gelingen. (Si nous collaborons bien, nous réussirons sûrement le projet.)"
gewinnen,"gagner (jeu, temps, expérience)",✅,"Ich gewinne selten bei Brettspielen, aber ich spiele trotzdem gern mit. (Je gagne rarement aux jeux de société, mais j’aime quand même y jouer.)",Sie hat viel Erfahrung in ihrem letzten Job gewonnen. (Elle a acquis beaucoup d’expérience dans son dernier emploi.),"Wenn wir uns gut vorbereiten, werden wir das nächste Turnier gewinnen. (Si nous nous préparons bien, nous gagnerons le prochain tournoi.)"
genießen,"profiter de, savourer",✅,Ich genieße den ruhigen Sonntagmorgen mit einem heißen Kaffee und guter Musik. (Je profite du calme du dimanche matin avec un café chaud et de la bonne musique.),Sie hat jede Minute ihres Urlaubs am Meer genossen. (Elle a savouré chaque minute de ses vacances à la mer.),"Wenn du das Leben wirklich genießen willst, musst du lernen, im Moment zu leben. (Si tu veux vraiment profiter de la vie, tu dois apprendre à vivre l’instant présent.)"
denken,penser,✅,"Ich denke, dass es morgen regnen wird. (Je pense qu’il pleuvra demain.)",Hast du an meinen Geburtstag gedacht? (As-tu pensé à mon anniversaire ?),"Ich werde an dich denken, wenn ich dort bin. (Je penserai à toi quand je serai là-bas.)"
entscheiden,décider,✅,"Ich entscheide mich oft spontan, was ich am Wochenende unternehme, je nach Wetter und Laune. (Je décide souvent spontanément ce que je fais le week-end, selon le temps et mon humeur.)","Wir haben uns gestern Abend entschieden, lieber zu Hause zu bleiben, anstatt ins Kino zu gehen. (Nous avons décidé hier soir de rester à la maison plutôt que d'aller au cinéma.)","Er wird sich bald entscheiden müssen, ob er das Jobangebot annimmt oder nicht. (Il devra bientôt décider s’il accepte l’offre d’emploi ou non.)"
entstehen,"naître, surgir, se former",✅,"In kreativen Prozessen entstehen oft unerwartete Ideen, die sehr wertvoll sein können. (Lors des processus créatifs, il naît souvent des idées inattendues qui peuvent être très précieuses.)","Während der Diskussion ist ein spannender Vorschlag entstanden, den wir weiterverfolgen sollten. (Une proposition intéressante a surgi pendant la discussion et nous devrions l’approfondir.)",In Zukunft werden viele neue Berufe im Bereich der künstlichen Intelligenz entstehen. (De nombreux nouveaux métiers naîtront dans le domaine de l’intelligence artificielle à l’avenir.)
entwerfen,"concevoir, élaborer, esquisser",✅,Die Architektin entwirft gerade ein nachhaltiges Wohngebäude mit modernen Materialien. (L’architecte conçoit actuellement un bâtiment résidentiel durable avec des matériaux modernes.),Das Team hat in nur zwei Wochen ein komplett neues Designkonzept entworfen. (L’équipe a conçu un tout nouveau concept de design en seulement deux semaines.),"In der nächsten Phase werden wir gemeinsam ein Prototyp-Modell entwerfen, das auf den Ergebnissen basiert. (Dans la prochaine phase, nous allons concevoir ensemble un modèle prototype basé sur les résultats.)"
empfehlen,"recommander, conseiller",✅,"Ich empfehle dir dringend, vor der Prüfung eine Pause zu machen und dich gut auszuruhen. (Je te recommande vivement de faire une pause avant l’examen et de bien te reposer.)","Der Arzt hat mir empfohlen, mehr Wasser zu trinken und früher schlafen zu gehen. (Le médecin m’a recommandé de boire plus d’eau et de me coucher plus tôt.)",Unsere Reiseleiterin wird uns morgen ein gutes Restaurant empfehlen. (Notre guide touristique nous recommandera un bon restaurant demain.)
empfangen,"accueillir, recevoir",✅,Ich empfange heute Abend einige Gäste zu einem kleinen Abendessen in meinem neuen Haus. (J'accueille ce soir quelques invités pour un petit dîner dans ma nouvelle maison.),Der Direktor hat die ausländische Delegation freundlich empfangen und ihnen die Einrichtungen gezeigt. (Le directeur a chaleureusement accueilli la délégation étrangère et leur a montré les installations.),"Wenn du dich gut vorbereitest, wirst du die Besucher professionell empfangen können. (Si tu te prépares bien, tu pourras accueillir les visiteurs de manière professionnelle.)"
empfinden,"ressentir, éprouver",✅,"Ich empfinde große Freude, wenn ich Zeit mit meiner Familie verbringe. (Je ressens une grande joie lorsque je passe du temps avec ma famille.)",Er hat tiefes Mitgefühl für die Opfer des Unfalls empfunden. (Il a éprouvé une profonde compassion pour les victimes de l'accident.),"In Zukunft wirst du mehr Empathie für andere empfinden können, wenn du ihre Geschichten hörst. (À l'avenir, tu pourras ressentir plus d'empathie pour les autres en écoutant leurs histoires.)"
nachdenken,"réfléchir, méditer",✅,"Ich denke oft über meine Zukunft nach, wenn ich spazieren gehe. (Je réfléchis souvent à mon avenir lorsque je me promène.)","Letzte Nacht habe ich lange über deine Worte nachgedacht. (La nuit dernière, j’ai longuement réfléchi à tes paroles.)","Morgen wirst du über deine Entscheidung nachdenken müssen. (Demain, tu devras réfléchir à ta décision.)"
nachschlagen,"consulter, chercher (dans un livre, dictionnaire)",✅,Ich schlage das Wort im Wörterbuch nach. (Je consulte le mot dans le dictionnaire.),Ich habe die Bedeutung des Begriffs im Lexikon nachgeschlagen. (J’ai cherché la signification du terme dans le lexique.),"Morgen werde ich die Grammatikregeln im Buch nachschlagen. (Demain, je consulterai les règles de grammaire dans le livre.)"
vermeiden,éviter,✅,"Ich versuche, Stress zu vermeiden, indem ich regelmäßig meditiere und spazieren gehe. (J’essaie d’éviter le stress en méditant régulièrement et en allant me promener.)","Sie hat jede Diskussion über das Thema vermieden, weil es ihr unangenehm war. (Elle a évité toute discussion sur le sujet, car cela la mettait mal à l’aise.)","Wenn du pünktlich losfährst, wirst du den Berufsverkehr vermeiden können. (Si tu pars à l’heure, tu pourras éviter les embouteillages.)"
vergleichen,comparer,✅,"Ich vergleiche immer mehrere Angebote, bevor ich etwas online kaufe. (Je compare toujours plusieurs offres avant d’acheter quelque chose en ligne.)","Er hat die Preise in verschiedenen Geschäften verglichen, um das beste Angebot zu finden. (Il a comparé les prix dans différents magasins pour trouver la meilleure offre.)","In Zukunft werden Kunden noch häufiger Produkte online vergleichen. (À l’avenir, les clients compareront encore plus souvent les produits en ligne.)"
verlassen,"quitter, abandonner, compter sur",✅,"Ich verlasse jeden Morgen um acht Uhr das Haus, um pünktlich bei der Arbeit zu sein. (Je quitte la maison chaque matin à huit heures pour arriver à l’heure au travail.)",Sie hat ihre Heimatstadt aus beruflichen Gründen verlassen. (Elle a quitté sa ville natale pour des raisons professionnelles.),Du wirst dich in schwierigen Zeiten auf deine Freunde verlassen können. (Tu pourras compter sur tes amis dans les moments difficiles.)
vergessen,oublier,✅,"Ich vergesse oft, wo ich mein Handy hingelegt habe. (J’oublie souvent où j’ai posé mon téléphone.)",Er hat ihren Geburtstag komplett vergessen. (Il a complètement oublié son anniversaire.),Du wirst diesen Moment niemals vergessen. (Tu n’oublieras jamais ce moment.)
verschieben,"déplacer, reporter",✅,Wir verschieben das Meeting auf nächste Woche. (Nous déplaçons la réunion à la semaine prochaine.),Er hat den Termin aus persönlichen Gründen verschoben. (Il a reporté le rendez-vous pour des raisons personnelles.),Ich werde unseren Flug auf Freitag verschieben. (Je vais reporter notre vol à vendredi.)
verschwinden,disparaître,✅,"Mein Handy verschwindet immer, wenn ich es brauche. (Mon téléphone disparaît toujours quand j’en ai besoin.)",Die Sonne ist hinter den Wolken verschwunden. (Le soleil a disparu derrière les nuages.),"Ich hoffe, dass das Problem bald verschwinden wird. (J’espère que le problème va bientôt disparaître.)"
schlagen,"frapper, battre, vaincre",✅,Er schlägt auf den Tisch. (Il frappe sur la table.),Der Boxer hat seinen Gegner geschlagen. (Le boxeur a battu son adversaire.),Wir werden sie im Finale schlagen. (Nous les battrons en finale.)
sitzen,"être assis (état, position)",✅,Ich sitze jeden Morgen mit einer Tasse Kaffee auf dem Balkon und lese die Nachrichten. (Je suis assis chaque matin avec une tasse de café sur le balcon et je lis les nouvelles.),"Ich habe den ganzen Nachmittag im Wartezimmer gesessen, ohne etwas zu tun. (J’ai été assis tout l’après-midi dans la salle d’attente, sans rien faire.)",Wir werden während des gesamten Konzerts in der ersten Reihe sitzen. (Nous serons assis au premier rang pendant tout le concert.)
sinken,"baisser, couler, diminuer",✅,"Die Temperaturen sinken im Herbst deutlich, besonders in den frühen Morgenstunden. (Les températures baissent nettement en automne, surtout tôt le matin.)",Die Nachfrage nach dem Produkt ist in den letzten Monaten stark gesunken. (La demande pour ce produit a fortement diminué ces derniers mois.),"Wenn die Zinsen weiter steigen, werden die Immobilienpreise vermutlich sinken. (Si les taux d’intérêt continuent d’augmenter, les prix de l’immobilier vont probablement baisser.)"
unterbrechen,interrompre,✅,"Bitte unterbrich mich nicht, wenn ich spreche. (S'il te plaît, ne m’interromps pas quand je parle.)",Er hat mich dreimal während des Gesprächs unterbrochen. (Il m’a interrompu trois fois pendant la conversation.),"Ich werde dich nicht unterbrechen, solange du sprichst. (Je ne t’interromprai pas tant que tu parleras.)"
unternehmen,"entreprendre, tenter",✅,"Wir unternehmen heute einen Ausflug ins Gebirge, um die frische Luft zu genießen. (Aujourd'hui, nous entreprenons une excursion en montagne pour profiter de l'air frais.)","Letztes Wochenende haben wir etwas ganz Besonderes unternommen – eine Ballonfahrt über die Alpen! (Le week-end dernier, nous avons entrepris quelque chose de vraiment spécial : un vol en montgolfière au-dessus des Alpes !)","Wenn das Wetter gut bleibt, werden wir morgen eine Wanderung im Nationalpark unternehmen. (Si le temps reste beau, nous ferons une randonnée dans le parc national demain.)"
ziehen,"tirer, déménager, attirer",✅,Ich ziehe die Tür auf. (Je tire la porte pour l’ouvrir.),Wir sind nach Berlin gezogen. (Nous avons déménagé à Berlin.),Er wird in eine neue Wohnung ziehen. (Il va emménager dans un nouvel appartement.)
scheinen,"sembler, briller",✅,"Es scheint heute die Sonne, also machen wir ein Picknick im Park. (Le soleil brille aujourd’hui, alors nous faisons un pique-nique au parc.)","Es hat so geschienen, als ob sie die Wahrheit nicht sagen wollte. (Il semblait qu’elle ne voulait pas dire la vérité.)","Wenn das Wetter so bleibt, wird morgen wieder die Sonne scheinen. (Si le temps reste comme ça, le soleil brillera de nouveau demain.)"
stehen,"être debout, se tenir",✅,Der Stuhl steht neben dem Tisch. (La chaise est à côté de la table.),Er hat lange in der Schlange gestanden. (Il est resté longtemps dans la file d'attente.),Ich werde früh an der Haltestelle stehen. (Je serai tôt à l'arrêt de bus.)
steigen,"monter, grimper, augmenter",✅,Ich steige jeden Morgen in den Zug nach München und lese dabei meine E-Mails. (Je monte chaque matin dans le train pour Munich et je lis mes e-mails en même temps.),Die Preise sind in den letzten Monaten stark gestiegen. (Les prix ont fortement augmenté ces derniers mois.),"Wenn die Nachfrage weiter steigt, werden die Lieferzeiten länger. (Si la demande continue d’augmenter, les délais de livraison seront plus longs.)"
schaffen (irrégulier),créer,✅,Der Künstler schafft ein Meisterwerk. (L’artiste crée un chef-d'œuvre.),Er hat eine beeindruckende Skulptur geschaffen. (Il a créé une sculpture impressionnante.),Sie wird eine neue Modekollektion schaffen. (Elle créera une nouvelle collection de mode.)
schaffen (régulier),"réussir, accomplir",✅,Ich schaffe das! (Je vais y arriver !),Ich habe die Prüfung geschafft. (J’ai réussi l’examen.),Er wird die Aufgabe sicher schaffen. (Il réussira sûrement la tâche.)
abholen,"aller chercher, venir chercher",✅,Ich hole dich morgen um acht Uhr ab. (Je viens te chercher demain à huit heures.),Er hat seine Schwester vom Bahnhof abgeholt. (Il est allé chercher sa sœur à la gare.),"Morgen werde ich das Paket bei der Post abholen. (Demain, j’irai chercher le colis à la poste.)"
anschauen,"regarder, examiner",✅,"Ich schaue mir jeden Abend eine Folge meiner Lieblingsserie an, um zu entspannen. (Je regarde un épisode de ma série préférée chaque soir pour me détendre.)","Wir haben uns gestern alte Urlaubsfotos angeschaut und viel gelacht. (Hier, nous avons regardé de vieilles photos de vacances et beaucoup ri.)","Morgen werde ich mir die Präsentation noch einmal genau anschauen. (Demain, je vais examiner à nouveau attentivement la présentation.)"
arbeiten,travailler,✅,"Ich arbeite derzeit an einem spannenden Projekt, das sich mit nachhaltiger Energie beschäftigt. (Je travaille actuellement sur un projet passionnant qui porte sur l’énergie durable.)","Letztes Jahr habe ich bei einer internationalen Organisation in Berlin gearbeitet. (L’an dernier, j’ai travaillé pour une organisation internationale à Berlin.)","Wenn ich dieses Praktikum bekomme, werde ich im Sommer in einem Architekturbüro arbeiten. (Si j’obtiens ce stage, je travaillerai dans un cabinet d’architecture cet été.)"
ausreichen,suffire,✅,Das Geld reicht für den Monat aus. (L’argent suffit pour le mois.),Sein Wissen hat für die Prüfung ausgereicht. (Ses connaissances ont suffi pour l’examen.),"Ich hoffe, dass meine Zeit morgen ausreichen wird. (J’espère que mon temps suffira demain.)"
bemerken,"remarquer, s’apercevoir de",✅,"Ich bemerke, dass du heute besonders ruhig bist. (Je remarque que tu es particulièrement calme aujourd’hui.)","Sie hat nicht bemerkt, dass ihr Handy geklingelt hat. (Elle ne s’est pas aperçue que son téléphone avait sonné.)","Du wirst sofort bemerken, wenn sich etwas ändert. (Tu remarqueras tout de suite s’il y a un changement.)"
anschaffen,"acquérir, acheter (souvent de manière planifiée ou importante)",❌,Wir schaffen uns nächstes Jahr ein neues Auto an. (Nous allons acquérir une nouvelle voiture l’année prochaine.),"Letztes Jahr haben sie sich ein Haus angeschafft. (L’année dernière, ils ont acheté une maison.)",Ich werde mir bald eine neue Kaffeemaschine anschaffen. (Je vais bientôt m’acheter une nouvelle machine à café.)
aufteilen,"répartir, diviser",❌,"Wir teilen die Arbeit gleichmäßig auf, damit niemand überlastet ist. (Nous répartissons le travail équitablement pour que personne ne soit surchargé.)",Sie haben die Kosten gerecht aufgeteilt. (Ils ont réparti les coûts de manière équitable.),"Morgen werden wir die Aufgaben unter den Teammitgliedern aufteilen. (Demain, nous répartirons les tâches entre les membres de l'équipe.)"
ausdrücken,exprimer,❌,"Manchmal fällt es mir schwer, meine Gefühle auszudrücken. (Parfois, j'ai du mal à exprimer mes sentiments.)",Er hat seine Meinung klar ausgedrückt. (Il a exprimé clairement son opinion.),"Morgen werde ich meine Ideen vor der Gruppe ausdrücken. (Demain, j’exprimerai mes idées devant le groupe.)"
auswerten,"analyser, exploiter (des données, résultats)",❌,Wir werten die Ergebnisse der Umfrage aus. (Nous analysons les résultats du sondage.),Die Forscher haben bereits alle Daten ausgewertet. (Les chercheurs ont déjà exploité toutes les données.),Ich werde die Zahlen nächste Woche auswerten. (J'analyserai les chiffres la semaine prochaine.)
sich bemühen,"s'efforcer, faire un effort",❌,"Ich bemühe mich, jeden Tag ein bisschen Deutsch zu lernen, auch wenn ich müde bin. (Je m’efforce d’apprendre un peu d’allemand chaque jour, même quand je suis fatigué.)","Sie hat sich sehr bemüht, ihre Arbeit rechtzeitig fertigzustellen. (Elle a fait de gros efforts pour terminer son travail à temps.)","Wenn du dich weiterhin bemühst, wirst du bald große Fortschritte machen. (Si tu continues à faire des efforts, tu feras bientôt de grands progrès.)"
berühren,toucher,❌,"Bitte berühre die Kunstwerke im Museum nicht. (S’il te plaît, ne touche pas les œuvres d’art au musée.)",Er hat versehentlich den Alarmknopf berührt. (Il a touché le bouton d’alarme par accident.),"Wenn du fertig bist, wirst du die Oberfläche reinigen, nachdem du sie berührt hast. (Quand tu auras fini, tu nettoieras la surface après l’avoir touchée.)"
beurteilen,"juger, évaluer",❌,Wir beurteilen die Leistung der Kandidaten objektiv. (Nous évaluons les performances des candidats de manière objective.),Der Lehrer hat die Präsentationen der Schüler fair beurteilt. (Le professeur a évalué les présentations des élèves équitablement.),"In der nächsten Sitzung werden wir die Ergebnisse gemeinsam beurteilen. (Lors de la prochaine réunion, nous jugerons les résultats ensemble.)"
